"Русский Season 18 Последнее обновление:
26 июня, 2026 Эта работа стала возможной благодаря Дж. С. Миллю и его оригинальной таблице здесь Марка и модель","Поддержать проект через криптовалюту USDT (TRC20): TL4VWRZYuesxdVey6hp4TujJFHEUAf9NfN  Донаты на развитие таблицы очень приветствуются! Требуемое DLC","Нужно ли открывать","Открывается по","Требуемый уровень","Находится в регионе","Находится на карте","Название контракта/поручения для открытия","Класс авто","Цена в магазине грузовиков","Тип привода","Полный привод","Блокировка дифференциала","Диаметр колёс в стоке (дюймы)","Scale stock","Макс. диаметр колёс (дюймы)","Scale max","Объем бака (л)","Крут. момент топ движка","Полная масса c колёсами","Отношение момент/масса","Коробки передач","Лебёдки","Поворотные оси","Поддержать проект через криптовалюту USDT (TRC20): TL4VWRZYuesxdVey6hp4TujJFHEUAf9NfN  Донаты на развитие таблицы очень приветствуются! Высокая подвеска","Заказная подвеска","Crawler
Suspension","Активная подвеска","Спаренные вседорожные шины","Одинарные вседорожные шины","Спаренные внедорожные шины","Одинарные внедорожные шины","Шины для грязи","Болотные шины","Шины с цепями","Масса каждой шины","Умножение массы для задней оси","VladVulcan рекомендует","Грузовые прицепы","Скаутские прицепы","Сельхоз прицепы","Низкое седло","Бочки под низкое седло","Высокое седло","Бочка под высокое седло","Манипулятор","Поддержать проект через криптовалюту USDT (TRC20): TL4VWRZYuesxdVey6hp4TujJFHEUAf9NfN  Донаты на развитие таблицы очень приветствуются! Большой кран","Сверхтяжелый кран","Кран для бревен","1-слотовая платформа","2-слотовая платформа","3-слотовая платформа","4-слотовая платформа","КОМБО: кран + седло ","Модуль для коротких брёвен","Модуль для средних брёвен","Роспуск для длинных брёвен","КОМБО: кран ЛП-4 и низкое седло","Прицепы-лесовозы Futom","Складной полуприцеп-лесовоз (длинные бревна)","Бак для топлива (л)","Бак для воды (л)","Ремонтный кунг (ремонт - запаски)","Сервисный модуль для ТО (ремонт - запаски - литры)","Многоцелевой грузовой модуль
(ремонт - запаски - литры)","Поддержать проект через криптовалюту USDT (TRC20): TL4VWRZYuesxdVey6hp4TujJFHEUAf9NfN  Донаты на развитие таблицы очень приветствуются! Багажник на крышу и/или в кузов (ремонт - запаски - литры)","Максимум припасов
(ремонт - запаски - литры)","Запасное колесо (шт.)","Сейсмовибратор","Металло-
детектор","КОМБО: детектор + что-то еще","Платформа эвакуатора","Базовый движок","Крутящий
момент в стоке","Отношение
крут. момент/масса
в стоке","Имя файла грузовика
в архиве игры","","",""
"Tayga 6455B","Year 2 - Season 6","TRUE","Контракт","","Maine","The Lowland","""Starting the Plank Production""","Вездеход","$90 600","6x6","Постоянный","Постоянный","48","0,61","50","0,64","330","200000","13221","15,13","Грузовые","Средние","1, передняя","Высокая","","","","","ATHS","","OHS;
JAT OHS (DLC)","DMHS;
MHS II;
JAT MHS (DLC)","TMHS","MHS chains","200","","OHS II
JAT MHS IV","Грузовые прицепы","","","Низкое седло","ПП топливо/ вода (3700л)","Высокое седло","Тяжелый ПП топливо (5000л)","IM50","Avto-23","","","","2-слотовая
платформа +кран +прицеп","","","Оба седла+кран","Укороченный лесовоз +Прицеп","Средний лесовоз + прицеп","Передний роспуск","","Прицеп-лесовоз Futom-S
Прицеп-лесовоз Futom-M","ДА","1800","1800","800-6","","","","","","СейсмоВибратор","","","","LAZ 8 T260","160000","12,10","tayga_6455b.xml","","",""
"TUZ 108 ""Warthog""","Year 1 - Season 1","TRUE","Разведка","","Kola Peninsula","Imandra","","Вездеход","$34 200","4x4","Подключаемый","Подключаемая","39","0,50","47","0,60","200","210000","4490","46,77","Грузовые","Средние +автономная","1, передняя","Высокая","","","Активная","JAT ATMD (DLC)","UAD singles","JAT OMD (DLC)","UOD singles","JAT MMD (DLC)","AMHS","UAD chains single","100","x2","JAT MMD I","Грузовые прицепы","","","Низкое седло","","","","IM50","","","","1-слотовая
платформа +прицеп","","","","","","","","","Прицеп-лесовоз Futom-S
Прицеп-лесовоз Futom-M","","600","","500-2","","","150-2-60","","","","","","","Azov AM-8 14","170000","37,86","tuz_108_warthog.xml","","",""
"TUZ 16 ""Actaeon""","Year 1 - Season 1","TRUE","Разведка","","Kola Peninsula","Lake Kovd","","Вездеход","$70 400","4x4","Подключаемый","Подключаемая","39","0,50","47","0,60","110","185000","3840","48,18","Грузовые","Средние +автономная","1, передняя","Высокая","","","Активная","JAT ATMD (DLC)","UAD singles","JAT OMD (DLC)","UOD singles","JAT MMD (DLC)","AMHS","UAD chains single","100","x2","UOD II
AMHS","Грузовые прицепы","","","","","","","IM50","","","","1-слотовая
платформа +кран +прицеп","","","","","","","Передний роспуск","","Прицеп-лесовоз Futom-S
Прицеп-лесовоз Futom-M","","900","","500-2","","","150-0-80","650-3-80","2","","","","","LAZ 6 T60","130000","33,85","tuz_16_actaeon.xml","","",""
"TUZ 166","","TRUE","Разведка или Поручение","","Taymyr
Belozersk Glades","Drowned Lands;
Crossroads","""Lost In The Rocks""","Скаут","$15 500","4x4","Постоянный","Постоянный","31","0,40","39","0,50","60","72000","1855","38,81","Скаутские","Лёгкие","1, передняя","Высокая","Заказная","","","","AS;
Ultima AT (DLC)","","OS;
JAT OS (DLC)","MS;
JAT MS (DLC)","","CS;
Ultima CS (DLC)","75","","JAT MS III","","Скаутские прицепы","","","","","","","","","","","","","","","","","","","","","","","","","","0-2-40","","1","","","","","Kr 37 model 166","20000","10,78","tuz_166.xml","","",""
"TUZ 420 ""Tatarin""","","TRUE","Разведка или Поручение","","Taymyr","Zimnegorsk;
Rift","""Pacifist""","Скаут","$146 300","8x8","Постоянный","Постоянный","47","0,60","47","0,60","300","200000","15751","12,70","Для спецтехники","Лёгкие","2, передние","","","","","","","","","TO
JAT MHS (DLC)","","","200","","TO I","","","","","","","","","","","","","","","","","","","","","","","","","","","","150-2-120","","","","","","","IMZ-12 1000T","200000","12,70","tuz_420_tatarin.xml","","",""
"Voron AE-4380","","FALSE","","","Scandinavia","By the Lake","","Вездеход","$82 100","6x6","Постоянный","Постоянный","43","0,55","50","0,63","250","200000","10643","18,79","Грузовые","Средние","1, передняя","Высокая","","","","ATMD;
JAT ATHD (DLC)","ATHS","OHD;
JAT OHD (DLC)","OHS;
JAT OHS (DLC)","DMHS;
MHS II;
JAT MHS (DLC)","","OHD chains;
MHS chains","200","x2","OHS II
OHD I","Грузовые прицепы","","","Низкое седло","ПП топливо/ вода (3700л)","Высокое седло","Тяжелый ПП топливо (5000л)","IM50","Avto-23","","","","2-слотовая
платформа +кран +прицеп","","","Оба седла+кран","Укороченный лесовоз +Прицеп","Средний лесовоз + прицеп","Передний роспуск","","Прицеп-лесовоз Futom-S
Прицеп-лесовоз Futom-M","ДА","1800","1800","800-6","","","","","2","","Металло-
детектор","МД+НизкоеСедло","Подвижная платформа эвакуатора ","LAZ 8 T260","160000","15,03","voron_ae4380.xml","","",""
"Voron D-53233","","FALSE","","","","","","Вездеход","$79 700","6x6","Постоянный","Постоянный","43","0,55","50","0,63","270","200000","13062,5","15,31","Уникальный вездеход (Voron D)","Средние","1, передняя","Высокая","","","","ATMD;
JAT ATHD (DLC)","ATHS","OHD;
JAT OHD (DLC)","OHS;
JAT OHS (DLC)","DMHS;
MHS II;
JAT MHS (DLC)","","OHD chains;
MHS chains","200","x2","OHD I","Грузовые прицепы","","","Низкое седло","ПП топливо/ вода (3700л)","Высокое седло","Тяжелый ПП топливо (5000л)","IM50","Avto-23","","ЛП-4","","2-слотовая
платформа +кран +прицеп","","","Оба седла+кран","Укороченный лесовоз +Прицеп","Средний лесовоз + прицеп","Передний роспуск","","Прицеп-лесовоз Futom-S
Прицеп-лесовоз Futom-M","ДА","1800","1800","800-6","300-5-1400","","","","2","","Металло-
детектор","МД+НизкоеСедло","Подвижная платформа эвакуатора ","LAZ 8 T260","160000","12,25","voron_d53233.xml","","",""
"Voron G-5352","Year 5
Season 17","TRUE","Поручение","","Zurdania","The Valley of Falling Rocks","""Oldie But Goldie""","Грузовой","$152 900","8x8","Постоянный","Подключаемая","49","0,62","52","0,66","380","188220","14110,5","13,34","КПП Voron G","Средние","2, передние","Высокая","","","","","ATHS","","OHS;
JAT OHS;
Voron G tires","DMHS;
MHS II;
JAT MHS (DLC)","","MHS chains","285",""," Voron G tires
MHS II","Грузовые прицепы","","","Низкое седло","ПП топливо/ вода (3700л)","Высокое седло","Тяжелый ПП топливо (5000л)","IM50
LC 3.8","Avto-23","LK-2NY","ЛП-4","Многофункциональный грузовой модуль +IM50 +прицеп","2-слотовая
платформа +кран +прицеп","","","","Укороченный лесовоз +КМУ +Прицеп","Средний лесовоз + прицеп","Передний роспуск +КМУ","Кран ЛП-4 + низкое седло","Прицеп-лесовоз Futom-S
Прицеп-лесовоз Futom-M","ДА","1800","1800","800-6","300-5-1400
900-6-300","300-2-200
+1СлотБорт","150-0-100","1050-6-400
450-5-1500
450-2-300","2","СейсмоВибратор +Прицеп","","","Подвижная платформа эвакуатора ","IMZ-8 300-T","144870","10,27","voron_g5352.xml","","",""
"Voron Grad","","TRUE","Уровень водителя","18","","","","Вездеход","$84 400","6x6","Подключаемый","Подключаемая","43","0,55","50","0,63","330","235000","13150","17,87","Грузовые","Средние","1, передняя","Высокая","","","","ATMD;
JAT ATHD (DLC)","ATHS","OHD;
JAT OHD (DLC)","OHS;
JAT OHS (DLC)","DMHS;
MHS II;
JAT MHS (DLC)","","OHD chains;
MHS chains","200","x2","OHD I","Грузовые прицепы","","","Низкое седло","ПП топливо/ вода (3700л)","Высокое седло","Тяжелый ПП топливо (5000л)","IM50","Avto-23","","","","2-слотовая
платформа +прицеп","","","Оба седла+кран","","","Передний роспуск","","Прицеп-лесовоз Futom-S
Прицеп-лесовоз Futom-M","ДА","1800","1800","800-6","300-5-1400","","","","1","","","","Платформа эвакуатора с рампой","Azov AM-8 14","170000","12,93","voron_grad.xml","","",""
"Western Star 47X NF1424","Wolf Pack DLC","FALSE","","","","","","Тяжелый","$113 500","6x6","Подключаемый","Подключаемая","44","0,56","48","0,61","290","220000","8340","26,38","Грузовые","Тяжелые","1, передняя","Высокая","","","Активная","UAD;
JAT ATMD (DLC)","","UOD;
JAT OMD (DLC)","","","","UAD chains","100","x2","UOD II
JAT OMD III","Грузовые прицепы","","","Низкое седло","ПП топливо/ вода (3700л)","Высокое седло","Тяжелый ПП топливо (5000л)","LC 3.8","","","","1-слотовая
платформа +кран +прицеп","2-слотовая
платформа +прицеп","","","Оба седла+кран","","","Передний роспуск","","Прицеп-лесовоз Futom-S
Прицеп-лесовоз Futom-M","ДА","","","","300-5-1400","","150-2-120","450-7-1520","","","","","","Si-8V/2300","160000","19,18","western_star_nf1424.xml","","",""
"Western Star 47X NF1430","Wolf Pack DLC","FALSE","","","","","","Тяжелый","$120 600","10x6","Подключаемый","Нет","44","0,56","44","0,56","290","220000","10140","21,70","Грузовые","Тяжелые","1, передняя","","","","Подъёмная ось","ATMD;
JAT ATHD (DLC)","","OHD;
JAT OHD (DLC)","","","","OHD chains","200","x2","OHD I","Грузовые прицепы","","","Низкое седло","ПП топливо/ вода (3700л)","Высокое седло","Тяжелый ПП топливо (5000л)","LC 3.8","PC-320","LK-2NY","ЛП-4","","2-слотовая
платформа +кран +прицеп","","","Оба седла+кран","Укороченный лесовоз +КМУ +Прицеп","Средний лесовоз + прицеп","Передний роспуск +КМУ","Кран ЛП-4 + низкое седло","Прицеп-лесовоз Futom-S
Прицеп-лесовоз Futom-M","ДА","1800","1800","800-6","300-5-1400","","","","","СейсмоВибратор","","","Платформа эвакуатора с рампой","Si-8V/2300","160000","15,78","western_star_nf1430.xml","","",""
"Western Star 49X","Western Star 49X DLC","FALSE","","","","","","Тяжелый","$140 700","8x6","Подключаемый","Подключаемая","47","0,60","47","0,60","290","220000","9460","23,26","Грузовые","Тяжелые","1, передняя","","","","Подъёмная ось","UAD;
JAT ATMD (DLC)","","UOD;
JAT OMD (DLC)","","","","UAD chains","100","x2","UOD II
JAT OMD III","Грузовые прицепы","","","Низкое седло","ПП топливо/ вода (3700л)","Высокое седло","Тяжелый ПП топливо (5000л)","LC 3.8","","","ЛП-4","","2-слотовая
платформа +кран +прицеп","","","Оба седла+кран","Укороченный лесовоз +Прицеп","Средний лесовоз + прицеп","Передний роспуск","","Прицеп-лесовоз Futom-S
Прицеп-лесовоз Futom-M","ДА","1800","1800","","300-5-1400","","","","","СейсмоВибратор","Металло-
детектор","МД+2СлотБТ/ПФ
МД+НизкоеСедло
МД+ВысокоеСедло","Платформа эвакуатора с рампой","Si-8V/2300","160000","16,91","western_star_49x","","",""
"Western Star 57X","Wolf Pack DLC","FALSE","","","","","","Шоссейный","$115 700","6x6","Подключаемый","Нет","43","0,54","44","0,56","290","220000","8579","25,64","Грузовые","Тяжелые","1, передняя","Высокая","","","","UAD;
JAT ATMD (DLC)","","UOD;
JAT OMD (DLC)","","","","UAD chains","100","x2","JAT OMD I
UOD I","Грузовые прицепы","","","Низкое седло","ПП топливо/ вода (3700л)","Высокое седло","Тяжелый ПП топливо (5000л)","LC 3.8","","","","","","","","","","","Передний роспуск","","Прицеп-лесовоз Futom-S
Прицеп-лесовоз Futom-M","","","","","","","","","2","","","","","Si-8V/2300","160000","18,65","western_star_57x.xml","","",""
"Western Star 6900 Twin Steer","","FALSE","","","Michigan","Island Lake","""No country for old truck""","Тяжелый","$118 200","8x8","Подключаемый","Подключаемая","55","0,70","63","0,80","360","250000","21715","11,51","Грузовые","Тяжелые","2, передние","Высокая","","","","ATMD;
JAT ATHD (DLC)","ATHS","OHD;
JAT OHD (DLC)","OHS;
JAT OHS (DLC)","DMHS;
JAT MHS (DLC)","","OHD chains;
MHS chains","200","x2","OHD I (55"")
JAT MHS IV","","","","","","","","","","","","","","","4-слотовая платформа","","","","","","","","","","","","","","","2","","","","","A16V-2000","200000","9,21","ws_6900xd_twin","","",""
"Western Star 6900XD","Freightliner & Western Star Dual Pack","FALSE","","","","","","Тяжелый","$160 800","6x6","Подключаемый","Подключаемая","53","0,67","55","0,70","320","192000","19187","10,01","Грузовые","Тяжелые","1, передняя","Высокая","","","","ATMD;
JAT ATHD (DLC);
WS 6900XD tires","","OHD;
JAT OHD (DLC)","","","","OHD chains","200","x2","OHD I","Грузовые прицепы","","","Низкое седло","ПП топливо/ вода (3700л)","Высокое седло","Тяжелый ПП топливо (5000л)","LC 3.8","","LK-2NY","ЛП-4","","2-слотовая
платформа +кран +прицеп","3-слотовая
платформа +прицеп","","Оба седла+кран","Укороченный лесовоз +Прицеп","Средний лесовоз + прицеп","Передний роспуск +КМУ","","Прицеп-лесовоз Futom-S
Прицеп-лесовоз Futom-M","","","","800-6","300-5-1400","","150-0-80","150-2-2880;
950-8-80;
450-7-1480","2","СейсмоВибратор","","","Эвакуатор с рампой
Подвижный эвакуатор
Комплект для эвакуации","Si-8V / 2300","160000","8,34","western_star_6900xd.xml","","",""
"White Western Star 4964","","TRUE","Разведка или Поручение","","Michigan
British Columbia","Smithville Dam;
Duncan Bay","""Fixer Upper""","Грузовой","$48 800","6x6","Подключаемый","Подключаемая","43","0,55","47","0,60","300","155000","9038","17,15","Грузовые","Средние","1, передняя","Высокая","","","","UAD;
JAT ATMD (DLC)","","UOD;
JAT OMD (DLC)","","","","UAD chains","100","x2","UOD II
JAT OMD III","Грузовые прицепы","","","Низкое седло","ПП топливо/ вода (3700л)","Высокое седло","Тяжелый ПП топливо (5000л)","LC 3.8","PC-320","","ЛП-4","","2-слотовая
платформа +прицеп","","","Оба седла+кран","Укороченный лесовоз +Прицеп","Средний лесовоз + прицеп","Передний роспуск","","Прицеп-лесовоз Futom-S
Прицеп-лесовоз Futom-M","ДА","1800","1800","800-6","300-5-1400","","","","2","","","","Платформа эвакуатора с рампой","Si-6V/1900","135000","14,94","ws_4964_white","","",""
"YAR 87","","TRUE","Уровень водителя","10","","","","Скаут","$30 500","6x6","Подключаемый","Постоянный","49","0,62","49","0,62","110","90000","4915","18,31","Скаутские","Лёгкие","1, передняя","","","","","","TrAT;
Ultima AT (DLC)","","TrO","TrM
JAT MS (DLC)","TM","TrC I;
Ultima CS (DLC)","100","","TM II
JAT MS III","","Скаутские прицепы","","","","","","","","","","","","","","","","","","","","","","","","","","150-2-120","","","","","","","Kr 135-T","70000","14,24","YAR_87","","",""
"ZIKZ 5368","","FALSE","","","","","","Вездеход","$31 900","4x4","Подключаемый","Подключаемая","42","0,53","47","0,60","190","185000","7141,5","25,90","Грузовые","Средние","1, передняя","Высокая","","","","UAD;
JAT ATMD (DLC)","","UOD;
JAT OMD (DLC)","","JAT MMD (DLC)","AMHS","UAD chains","100","x2","JAT MMD I","Грузовые прицепы","","","Низкое седло","ПП топливо/ вода (3700л)","","","IM50","","","ЛП-4","1-слотовая
платформа +кран +прицеп","2-слотовая платформа","","","Низкое седло + кран","","","Передний роспуск","","Прицеп-лесовоз Futom-S
Прицеп-лесовоз Futom-M","","1800","1800","800-6
500-2","","","","800-6","2","","Металло-
детектор","МД+1СлотБорт","","LAZ 6 T60","130000","18,20","zikz_5368.xml","","",""
"ZiKZ 566A","Year 3 - Season 9","TRUE","Поручение","","Ontario","Burned Forest","""Help The Villagers 3""","Вездеход","$80 900","4x4","Постоянный","Подключаемая","43","0,55","47","0,60","150","200000","6935","28,84","Грузовые","Средние","1, передняя","Высокая","","","","UAD;
JAT ATMD (DLC)","","UOD;
JAT OMD (DLC)","Zikz 566A tires","JAT MMD (DLC)","TMHS","UAD chains","100","x2","Zikz 566A tires
JAT MMD I","Грузовые прицепы","","","Низкое седло","ПП топливо/ вода (3700л)","","","IM50","","","","1-слотовая
платформа +кран +прицеп","","","","Низкое седло + кран","","","","","Прицеп-лесовоз Futom-S
Прицеп-лесовоз Futom-M","","900","1800","500-2","","","0-0-120","500-4-120","2","","","","","LAZ 6 T60","130000","18,75","zikz_566a.xml","","",""
"ZiKZ 605R","Year 1 - Season 4","TRUE","Поручение","","Amur","Cosmodrome","""Stargazer""","Тяжелый","$191 600","8x8","Постоянный","Постоянный","61","0,77","61","0,78","380","260000","26416","9,84","Для спецтехники","Тяжелые","2, передние","","","","","","","","","ZHM;
JAT MSH (DLC)","","","600","","ZHM I","Грузовые прицепы","","","","","Высокое седло","Тяжелый ПП топливо (5000л)","","Avto-23","","","","2-слотовая
платформа +прицеп","","","","Укороченный лесовоз +Прицеп","","","","","ДА","1800","1800","800-6","","","600-0-200","1400-6-200","2","СейсмоВибратор +Прицеп","","","","KZGT-8 490","205000","7,76","zikz_605r.xml","","",""
"ZiKZ 612H","Mastodon DLC","FALSE","","","","","","Тяжелый","$228 400","8x8","Постоянный","Постоянный","61","0,77","61","0,78","500","265000","28824","9,19","Для спецтехники (612H)","Тяжелые","2, передние","","","","","","ATHS","","OHS","ZHM;
JAT MSH;
DMHS;
MHS II","","MHS chains","600","","ZHM I (612H)
JAT MSH III","Грузовые прицепы","","","Низкое седло","ПП топливо/ вода (3700л)","Высокое седло","Тяжелый ПП топливо (5000л)","IM50","Avto-23","LK-2NY","ЛП-4","Многофункциональный грузовой модуль + прицеп","2-слотовая
платформа +кран +прицеп","3-слотовая платформа","","Оба седла+кран","Укороченный лесовоз +Прицеп","Средний лесовоз + прицеп","Передний роспуск +КМУ","Кран ЛП-4 + низкое седло","Прицеп-лесовоз Futom-S
Прицеп-лесовоз Futom-M","ДА","1800","2500","800-6","","450-4-250
+кран+1СлотБорт","300-0-0
300-0-180","600-4-2030
1100-10-180
750-6-430","4","СейсмоВибратор","","","Платформа эвакуатора с рампой","TUSK12-530-P2","203000","7,04","zikz_612h_mastodont","","",""
