"English Season 18 Last Updated:
June 26th, 2026 This work was made possible thanks to J.S. Mill and his orignal spreadsheet here Make and Model","Support me: ko-fi.com/vladvulcan or donate directly to PayPal (recepient email address: vladvulcan578@gmail.com). Donations are very welcome!  DLC Required","Needs to be unlocked","Unlocked by","Rank
requirement","Found in region","Found on map","Contract or task name for unlock","Vehicle Class","Truck Store Price","Drivetrain","All-wheel drive","Differential locking","Tire Diameter Stock (in)","Scale stock","Tire Diameter Max (in)","Scale max","Fuel Capacity (L)","Top Engine Torque","Total Mass with wheels","Torque to Mass Ratio","Gearboxes","Winches","Steering axles","Support me: ko-fi.com/vladvulcan or donate directly to PayPal (recepient email address: vladvulcan578@gmail.com). Donations are very welcome!  Raised Suspension","Custom Suspension","Crawler
Suspension","Active Suspension","Double all-terrain tires","Single all-terrain tires","Double offroad tires","Single offroad tires","Mud tires","Flotation tires","Chained tires","Mass per tire","Rear axle mass scale (for doubles)","Recommended by VladVulcan","Truck Trailer","Scout Trailer","Farming Trailer","Saddle Low","Saddle Low Tankers","Saddle High","Saddle High Tanker","Loading Crane","Support me: ko-fi.com/vladvulcan or donate directly to PayPal (recepient email address: vladvulcan578@gmail.com). Donations are very welcome!  Big Crane","Superheavy Crane","Log Crane","1-slot Bed","2-slot Bed","3-slot Bed ","4-slot Bed ","Crane + Saddle combo ","Short Log Addon","Medium Log Addon","Log Carrier Front (Long logs)","LogCrane + LowSaddle Combo","Futom Logging Trailers","Foldable Logging Semitrailer (Long Logs)","Frame Fuel Tank (L)","Frame Water Tank (L)","Van Body Addon (Repairs - Wheels)","Frame Maintenance Addon (Repairs - Wheels - Fuel)","Multi-purpose Cargo Module
(Repairs - Wheels - Fuel)","Support me: ko-fi.com/vladvulcan or donate directly to PayPal (recepient email address: vladvulcan578@gmail.com). Donations are very welcome!  Roof Rack with supplies (Repairs -Wheels - Fuel)","Maximum Supplies
(Repairs -Wheels - Fuel)","Spare wheel addon (Pcs)","Seismic Vibrator","Metal Detector","Metal Detector+ anything combo","Towing Platform","Base Engine","Stock Torque","Torque-to-Mass ratio
stock","Truck file name
in the initial.pak","","",""
"Western Star 47X NF1424","Wolf Pack DLC","FALSE","","","","","","Heavy","$113 500","6x6","Switchable","Switchable","44","0,56","48","0,61","290","220000","8340","26,38","Truck","Heavy","1, front","Raised","","","Active","UAD;
JAT ATMD (DLC)","","UOD;
JAT OMD (DLC)","","","","UAD chains","100","x2","UOD II
JAT OMD III","Truck Trailer","","","SaddleLow","Fuel/Water Semi (3700L)","SaddleHigh","Fuel Heavy Semi (5000L)","LC 3.8","","","","1-slot cargo
Bed +Crane +Trailer","2-slot cargo Bed +Trailer","","","Both saddles + crane","","","LogCarrierFront","","Futom-S logging trailer
Futom-M logging trailer","YES","","","","300-5-1400","","150-2-120","450-7-1520","","","","","","Si-8V/2300","160000","19,18","western_star_nf1424.xml","","",""
"Western Star 47X NF1430","Wolf Pack DLC","FALSE","","","","","","Heavy","$120 600","10x6","Switchable","None","44","0,56","44","0,56","290","220000","10140","21,70","Truck","Heavy","1, front","","","","Dead Axle","ATMD;
JAT ATHD (DLC)","","OHD;
JAT OHD (DLC)","","","","OHD chains","200","x2","OHD I","Truck Trailer","","","SaddleLow","Fuel/Water Semi (3700L)","SaddleHigh","Fuel Heavy Semi (5000L)","LC 3.8","PC-320","LK-2NY","LP-4","","2-slot cargo 
Bed +Crane +Trailer","","","Both saddles + crane","Short Logs Addon +LogCrane +Trailer","MediumLogs +Trailer","LogCarrierFront +LogCrane","LogCrane + LowSaddle","Futom-S logging trailer
Futom-M logging trailer","YES","1800","1800","800-6","300-5-1400","","","","","SeismicVibrator","","","Ramped Towing Platform","Si-8V/2300","160000","15,78","western_star_nf1430.xml","","",""
"Western Star 49X","Western Star 49X DLC","FALSE","","","","","","Heavy","$140 700","8x6","Switchable","Switchable","47","0,60","47","0,60","290","220000","9460","23,26","Truck","Heavy","1, front","","","","Dead Axle","UAD;
JAT ATMD (DLC)","","UOD;
JAT OMD (DLC)","","","","UAD chains","100","x2","UOD II
JAT OMD III","Truck Trailer","","","SaddleLow","Fuel/Water Semi (3700L)","SaddleHigh","Fuel Heavy Semi (5000L)","LC 3.8","","","LP-4","","2-slot cargo 
Bed +Crane +Trailer","","","Both saddles + crane","Short Logs Addon +Trailer","MediumLogs +Trailer","LogCarrierFront","","Futom-S logging trailer
Futom-M logging trailer","YES","1800","1800","","300-5-1400","","","","","SeismicVibrator","Metal Detector","MD+2-slotSB/FB
MD+SaddleHigh
MD+SaddleLow","Ramped Towing Platform","Si-8V/2300","160000","16,91","western_star_49x","","",""
"Western Star 57X","Wolf Pack DLC","FALSE","","","","","","Highway","$115 700","6x6","Switchable","None","43","0,54","44","0,56","290","220000","8579","25,64","Truck","Heavy","1, front","Raised","","","","UAD;
JAT ATMD (DLC)","","UOD;
JAT OMD (DLC)","","","","UAD chains","100","x2","JAT OMD I
UOD I","Truck Trailer","","","SaddleLow","Fuel/Water Semi (3700L)","SaddleHigh","Fuel Heavy Semi (5000L)","LC 3.8","","","","","","","","","","","LogCarrierFront","","Futom-S logging trailer
Futom-M logging trailer","","","","","","","","","2","","","","","Si-8V/2300","160000","18,65","western_star_57x.xml","","",""
"Western Star 6900 Twin Steer","","FALSE","","","Michigan","Island Lake","""No country for old truck""","Heavy","$118 200","8x8","Switchable","Switchable","55","0,70","63","0,80","360","250000","21715","11,51","Truck","Heavy","2, front","Raised","","","","ATMD;
JAT ATHD (DLC)","ATHS","OHD;
JAT OHD (DLC)","OHS;
JAT OHS (DLC)","DMHS;
JAT MHS (DLC)","","OHD chains;
MHS chains","200","x2","OHD I (55"")
JAT MHS IV","","","","","","","","","","","","","","","4-slot Cargo Bed","","","","","","","","","","","","","","","2","","","","","A16V-2000","200000","9,21","ws_6900xd_twin","","",""
"Western Star 6900XD","Freightliner & Western Star Dual Pack","FALSE","","","","","","Heavy","$160 800","6x6","Switchable","Switchable","53","0,67","55","0,70","320","192000","19187","10,01","Truck","Heavy","1, front","Raised","","","","ATMD;
JAT ATHD (DLC);
WS 6900XD tires","","OHD;
JAT OHD (DLC)","","","","OHD chains","200","x2","OHD I","Truck Trailer","","","SaddleLow","Fuel/Water Semi (3700L)","SaddleHigh","Fuel Heavy Semi (5000L)","LC 3.8","","LK-2NY","LP-4","","2-slot cargo 
Bed +Crane +Trailer","3-slot cargo Bed +Trailer","","Both saddles + crane","Short Logs Addon +Trailer","MediumLogs +Trailer","LogCarrierFront +LogCrane","","Futom-S logging trailer
Futom-M logging trailer","","","","800-6","300-5-1400","","150-0-80","150-2-2880;
950-8-80;
450-7-1480","2","SeismicVibrator","","","Articulated Towing Platform
Ramped Towing Platform
Vehicle Extraction Kit","Si-8V / 2300","160000","8,34","western_star_6900xd.xml","","",""
"White Western Star 4964","","TRUE","Exploration
or Task","","Michigan
British Columbia","Smithville Dam;
Duncan Bay","""Fixer Upper""","Heavy Duty","$48 800","6x6","Switchable","Switchable","43","0,55","47","0,60","300","155000","9038","17,15","Truck","Medium","1, front","Raised","","","","UAD;
JAT ATMD (DLC)","","UOD;
JAT OMD (DLC)","","","","UAD chains","100","x2","UOD II
JAT OMD III","Truck Trailer","","","SaddleLow","Fuel/Water Semi (3700L)","SaddleHigh","Fuel Heavy Semi (5000L)","LC 3.8","PC-320","","LP-4","","2-slot cargo Bed +Trailer","","","Both saddles + crane","Short Logs Addon +Trailer","MediumLogs +Trailer","LogCarrierFront","","Futom-S logging trailer
Futom-M logging trailer","YES","1800","1800","800-6","300-5-1400","","","","2","","","","Ramped Towing Platform","Si-6V/1900","135000","14,94","ws_4964_white","","",""
"YAR 87","","TRUE","Driver's Rank","10","","","","Scout","$30 500","6x6","Switchable","Always On","49","0,62","49","0,62","110","90000","4915","18,31","Scout","Scout","1, front","","","","","","TrAT;
Ultima AT (DLC)","","TrO","TrM
JAT MS (DLC)","TM","TrC I;
Ultima CS (DLC)","100","","TM II
JAT MS III","","Scout Trailer","","","","","","","","","","","","","","","","","","","","","","","","","","150-2-120","","","","","","","Kr 135-T","70000","14,24","YAR_87","","",""
"ZIKZ 5368","","FALSE","","","","","","Offroad","$31 900","4x4","Switchable","Switchable","42","0,53","47","0,60","190","185000","7141,5","25,90","Truck","Medium","1, front","Raised","","","","UAD;
JAT ATMD (DLC)","","UOD;
JAT OMD (DLC)","","JAT MMD (DLC)","AMHS","UAD chains","100","x2","JAT MMD I","Truck Trailer","","","SaddleLow","Fuel/Water Semi (3700L)","","","IM50","","","LP-4","1-slot cargo
Bed +Crane +Trailer","2-slot Cargo Bed","","","Saddle Low + crane","","","LogCarrierFront","","Futom-S logging trailer
Futom-M logging trailer","","1800","1800","800-6
500-2","","","","800-6","2","","Metal Detector","MD+1-slotSB","","LAZ 6 T60","130000","18,20","zikz_5368.xml","","",""
"ZiKZ 566A","Year 3 - Season 9","TRUE","Task","","Ontario","Burned Forest","""Help The Villagers 3""","Offroad","$80 900","4x4","Always On","Switchable","43","0,55","47","0,60","150","200000","6935","28,84","Truck","Medium","1, front","Raised","","","","UAD;
JAT ATMD (DLC)","","UOD;
JAT OMD (DLC)","Zikz 566A tires","JAT MMD (DLC)","TMHS","UAD chains","100","x2","Zikz 566A tires
JAT MMD I","Truck Trailer","","","SaddleLow","Fuel/Water Semi (3700L)","","","IM50","","","","1-slot cargo
Bed +Crane +Trailer","","","","Saddle Low + crane","","","","","Futom-S logging trailer
Futom-M logging trailer","","900","1800","500-2","","","0-0-120","500-4-120","2","","","","","LAZ 6 T60","130000","18,75","zikz_566a.xml","","",""
"ZiKZ 605R","Year 1 - Season 4","TRUE","Task","","Amur","Cosmodrome","""Stargazer""","Heavy","$191 600","8x8","Always On","Always On","61","0,77","61","0,78","380","260000","26416","9,84","Special","Heavy","2, front","","","","","","","","","ZHM;
JAT MSH (DLC)","","","600","","ZHM I","Truck Trailer","","","","","SaddleHigh","Fuel Heavy Semi (5000L)","","Avto-23","","","","2-slot cargo Bed +Trailer","","","","Short Logs Addon +Trailer","","","","","YES","1800","1800","800-6","","","600-0-200","1400-6-200","2","SeismicVibrator +Trailer","","","","KZGT-8 490","205000","7,76","zikz_605r.xml","","",""
"ZiKZ 612H","Mastodon DLC","FALSE","","","","","","Heavy","$228 400","8x8","Always On","Always On","61","0,77","61","0,78","500","265000","28824","9,19","Special (612H)","Heavy","2, front","","","","","","ATHS","","OHS","ZHM;
JAT MSH;
DMHS;
MHS II","","MHS chains","600","","ZHM I (612H)
JAT MSH III","Truck Trailer","","","SaddleLow","Fuel/Water Semi (3700L)","SaddleHigh","Fuel Heavy Semi (5000L)","IM50","Avto-23","LK-2NY","LP-4","Multi-purpose Cargo Module +Trailer","2-slot cargo 
Bed +Crane +Trailer","3-slot Cargo Bed","","Both saddles + crane","Short Logs Addon +Trailer","MediumLogs +Trailer","LogCarrierFront +LogCrane","LogCrane + LowSaddle","Futom-S logging trailer
Futom-M logging trailer","YES","1800","2500","800-6","","450-4-250
+Crane +1SlotBed","300-0-0
300-0-180","600-4-2030
1100-10-180
750-6-430","4","SeismicVibrator","","","Ramped Towing Platform","TUSK12-530-P2","203000","7,04","zikz_612h_mastodont","","",""
